Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,covid-19
01-03-2020,23.6,30.6,27.6,89,27.8,8,5,2,6,8,6,4,4,0,0
02-03-2020,24.8,32,28.2,80,8.9,0.8,5,2,9,16,12,1,6,-1,0
03-03-2020,22.2,32,28.1,79,0,9.1,5,2,7,14,13,0,4,0,0
04-03-2020,25.5,31,27.4,85,0,8.9,9,3,-1,-1,0,-3,5,2,0
05-03-2020,25,31,27.8,77,1.4,2.1,6,2,6,9,13,0,4,1,0
06-03-2020,,32.2,28.2,80,1.9,1.5,4,3,8,9,13,2,8,0,1
07-03-2020,24.8,32,28.3,74,,10,5,2,8,8,19,2,7,0,0
08-03-2020,24.4,32.8,27.4,80,0,4,5,3,3,4,15,-1,5,1,1
09-03-2020,23.8,34.5,28.8,74,,4.3,6,4,4,3,12,-2,6,1,0
10-03-2020,25.9,34.1,29.7,74,,4.2,6,3,4,6,12,-4,4,1,0
11-03-2020,25.5,34.2,28.4,82,2,11.3,5,2,2,1,10,-4,5,1,0
12-03-2020,24.2,31.2,26.7,88,12.2,5.3,3,2,1,-2,8,-4,4,2,0
13-03-2020,,31.5,27.3,79,2.9,1.7,4,2,6,6,18,-1,8,0,1
14-03-2020,24.9,33.2,28.7,82,0,7.7,5,2,-6,-3,3,-8,6,2,1
15-03-2020,24.5,32.5,28.6,80,0.6,8.6,5,2,-8,3,4,-13,5,3,1
16-03-2020,,32,27.3,86,,9.1,5,2,-14,-9,-8,-19,-8,7,1
17-03-2020,24.5,33,28.1,79,5.4,5.4,4,2,-6,5,0,-24,-13,7,0
18-03-2020,24.6,28,26.4,92,20.3,9.4,3,1,-12,-2,-5,-30,-16,10,0
19-03-2020,24.7,31.8,27.2,87,17.9,0,5,2,-15,-6,-6,-35,-18,11,0
20-03-2020,24,31.5,25.4,93,33.9,2.7,4,2,-23,-10,-16,-39,-18,13,0
21-03-2020,23.1,32.2,27.4,83,15,2.1,5,2,-24,-6,-18,-41,-7,10,0
22-03-2020,22.6,29.6,26.1,87,16.7,7,2,1,-37,-18,-34,-49,-9,12,0
23-03-2020,24.2,31.6,27.1,85,3.4,1.5,4,2,-27,-14,-19,-50,-27,15,0
24-03-2020,22.5,33.8,27.8,83,3,1.7,5,2,-26,-7,-18,-50,-31,16,0
25-03-2020,24.8,31.5,28,78,,9,6,2,-34,-16,-24,-61,-62,26,0
26-03-2020,25.6,31,27.7,83,2,6.2,4,2,-31,-14,-21,-55,-33,18,0
27-03-2020,,31.2,27.9,82,,3,4,2,-32,-10,-22,-56,-32,19,25
28-03-2020,,32,28.2,82,0,2.5,5,2,-40,-17,-35,-56,-21,16,10
29-03-2020,,33.2,27.9,83,0,3.1,4,2,-45,-23,-42,-58,-15,15,2
30-03-2020,25.2,32.5,26.9,87,0,7.2,5,2,-36,-20,-26,-58,-34,19,22
31-03-2020,24.6,34.4,28.4,80,6.4,3.1,6,2,-30,-6,-21,-57,-35,18,14
01-04-2020,24.6,34.4,28.1,79,0.4,,5,2,-28,-5,-19,-59,-35,18,12
02-04-2020,24.8,33.8,29.2,74,0,6.5,5,3,-28,-8,-18,-60,-36,19,6
03-04-2020,24.4,33.2,28.6,77,0,9.5,5,2,-31,-10,-21,-62,-34,20,4
04-04-2020,25.1,31.9,28.7,78,0,8.2,6,2,-38,-17,-34,-62,-23,16,3
05-04-2020,25.5,33.2,27.2,84,,5.4,7,2,-42,-21,-41,-63,-18,15,4
06-04-2020,25.4,32.6,27.5,83,6.3,6.5,5,2,-34,-20,-26,-63,-34,18,10
07-04-2020,25.1,32.7,28.1,80,10.3,4.8,7,3,-29,-9,-21,-61,-36,18,6
08-04-2020,25.2,32.2,27.9,81,0,8.6,5,2,-32,-15,-21,-62,-36,19,19
09-04-2020,25.5,32.1,28.2,82,0.1,8.5,4,2,-30,-12,-20,-60,-36,18,3
10-04-2020,25.2,33.2,27.6,85,0,2.5,4,2,-44,-25,-32,-72,-64,30,21
11-04-2020,25.2,34.4,28.7,80,4,5,3,2,-44,-23,-37,-66,-33,19,31
12-04-2020,25.3,33.1,28.8,81,0,3.1,5,2,-47,-26,-43,-66,-19,16,2
13-04-2020,25.2,32.2,27.8,86,2.6,8.5,4,2,-34,-18,-24,-64,-36,20,3
14-04-2020,25.1,31.6,28,84,2,4.1,5,2,-34,-18,-24,-64,-38,20,5
15-04-2020,25.2,32,27.8,84,,6.2,4,2,-35,-18,-24,-65,-37,20,0
16-04-2020,24.6,32.4,28.5,79,0,3,4,2,-33,-17,-22,-65,-37,20,15
17-04-2020,25,33.3,29.1,77,0,8.5,4,2,-35,-16,-24,-65,-36,21,9
18-04-2020,23.9,33.6,27.8,80,,10.2,5,2,-50,-31,-44,-67,-27,19,11
19-04-2020,23.8,34.2,28.3,81,0,5,4,2,-50,-30,-47,-67,-18,16,3
20-04-2020,25.2,32.8,29.7,76,,8.9,5,2,-39,-23,-29,-66,-37,20,29
21-04-2020,25.9,32.2,28.8,79,,10.5,4,2,-39,-22,-30,-65,-39,20,0
22-04-2020,24.8,34,28.9,78,,0,6,3,-36,-18,-25,-63,-38,19,1
23-04-2020,,33.2,29.2,82,,10.1,7,3,-33,-11,-22,-59,-39,19,3
24-04-2020,25.8,31.9,28.7,76,0,7.3,6,3,-52,-30,-43,-70,-44,26,23
25-04-2020,23.9,33,27.7,79,0,4.8,5,2,-52,-30,-49,-72,-31,21,11
26-04-2020,23.8,33,28.4,81,,3.5,5,2,-57,-39,-58,-74,-22,20,0
27-04-2020,25.4,32.2,27.4,85,2.5,6.3,4,2,-46,-32,-39,-72,-39,23,12
28-04-2020,24.6,31.2,27.2,84,3.8,2.4,4,2,-42,-22,-34,-69,-40,21,6
29-04-2020,23.9,31.6,27.5,83,0,2.8,6,2,-42,-25,-33,-70,-39,22,0
30-04-2020,25.7,31.8,27.7,86,0,5.3,5,2,-38,-16,-28,-68,-38,21,16
01-05-2020,25,31.2,27.9,84,2,1,4,2,-41,-15,-36,-75,-65,30,14
02-05-2020,23.9,29,25.9,86,2,0,4,2,-46,-23,-44,-70,-32,20,9
03-05-2020,23.9,32.5,28.6,81,0.7,0,6,3,-48,-27,-50,-72,-18,17,5
04-05-2020,26.2,29.8,27.9,83,1,6.4,5,3,-41,-24,-33,-70,-37,21,14
05-05-2020,25.1,32.8,28.8,80,6,0.9,6,3,-38,-17,-30,-68,-38,21,10
06-05-2020,25.2,32.6,28.6,83,1.2,9,5,2,-39,-20,-29,-68,-38,22,29
07-05-2020,25,33.5,28.8,79,0,5,5,2,-36,-15,-31,-71,-62,28,0
08-05-2020,25.2,34,28.4,81,0,9.9,4,2,-40,-18,-33,-67,-37,23,20
09-05-2020,25.2,31,27.4,85,0.4,4.8,3,2,-42,-20,-42,-66,-27,19,20
10-05-2020,25.4,33,28.2,82,0.8,0,5,2,-46,-25,-50,-68,-15,17,10
