Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,covid-19
16-03-2020,23.6,32.2,27.8,80,1.8,7,5,2,-5,9,-17,-11,-8,6,1
17-03-2020,24.7,32.7,27.7,82,0,7.5,3,1,-10,1,-23,-12,-10,7,0
18-03-2020,24.6,31.9,26.5,87,9.7,6.8,3,1,-16,-3,-33,-21,-13,9,0
19-03-2020,24,31.4,25.6,90,39.6,2.4,6,1,-27,-13,-41,-30,-16,11,0
20-03-2020,23,31.6,26,89,39.6,2.8,5,1,-26,-9,-43,-35,-18,11,0
21-03-2020,23.2,32.6,26.8,86,35,6.2,4,1,-29,-10,-51,-40,-11,10,0
22-03-2020,24.6,32.6,27.4,85,1.5,7.3,3,1,-40,-24,-57,-49,-11,12,0
23-03-2020,,29.7,24.1,95,76.4,3.2,3,1,-36,-18,-46,-45,-32,16,0
24-03-2020,,,,,,,,,-40,-22,-48,-41,-35,16,0
25-03-2020,23,32,26.2,88,36.8,6.7,6,1,-43,-20,-49,-45,-60,20,0
26-03-2020,23.2,33,27.9,80,72.3,5.3,3,2,-40,-17,-48,-46,-37,16,0
27-03-2020,23.6,32.5,27.7,83,0,10.3,4,1,-46,-26,-57,-52,-39,19,1
28-03-2020,23.4,32.4,26.9,85,1,6.7,8,2,-57,-36,-72,-54,-29,19,0
29-03-2020,22.4,32.6,26.8,83,28,5.7,3,1,-59,-39,-73,-65,-25,19,0
30-03-2020,,31.4,26.8,88,4.5,5.5,3,1,-46,-28,-54,-58,-42,19,1
31-03-2020,24.8,31.6,26.8,89,0,6,3,1,-52,-38,-57,-57,-43,19,5
01-04-2020,22.9,30.4,25.7,89,61.3,5.8,3,1,-43,-20,-54,-57,-42,16,5
02-04-2020,23.8,30.4,27,86,0,3.8,2,1,-45,-25,-53,-60,-43,18,0
03-04-2020,24.6,31.6,26.6,89,,2,4,2,-49,-32,-59,-64,-43,19,0
04-04-2020,24,31.9,26.8,90,29,4.1,3,1,-55,-38,-70,-68,-32,18,5
05-04-2020,24.1,31.6,26.5,89,3.9,4.5,5,2,-54,-37,-69,-72,-25,16,1
06-04-2020,23.2,30,25.8,88,78.4,4.4,3,1,-44,-28,-52,-66,-43,18,3
07-04-2020,23.5,31.4,26.4,85,3.8,3.8,4,2,-43,-26,-50,-63,-42,17,1
08-04-2020,22.8,31.4,26.9,83,2.5,8.4,5,2,-44,-27,-53,-64,-42,17,0
09-04-2020,23.1,32.4,27.2,83,0.9,,3,1,-44,-26,-51,-64,-43,17,2
10-04-2020,23,32.3,27.3,83,7.2,6.9,5,2,-51,-36,-55,-72,-62,24,0
11-04-2020,24.2,30.4,27,87,25.6,1.8,5,2,-52,-36,-68,-73,-33,18,0
12-04-2020,23,31.8,27.1,81,1.6,7.3,4,2,-53,-37,-66,-74,-22,17,0
13-04-2020,22.7,32.4,27.5,76,0,10.1,3,1,-42,-26,-49,-68,-40,18,16
14-04-2020,22.9,32.2,,,0,6.9,3,1,-44,-30,-49,-66,-41,18,5
15-04-2020,23.2,32.3,,,,6.3,3,2,-45,-30,-53,-65,-41,18,1
16-04-2020,23.3,32.8,26.7,83,,3.9,2,1,-45,-29,-50,-68,-41,18,1
17-04-2020,24.3,32.2,26.3,87,1,3.9,8,2,-52,-41,-61,-71,-41,20,1
18-04-2020,21.8,30.6,25.1,88,55,4,4,1,-52,-36,-68,-71,-28,16,3
19-04-2020,23.4,32.2,27.1,84,1.8,5.2,3,1,-53,-37,-67,-72,-20,16,0
20-04-2020,24.4,32.2,27.3,86,10.4,2.7,3,1,-44,-30,-53,-67,-39,17,2
21-04-2020,24.8,31.6,27.4,87,,4.7,5,2,-43,-29,-50,-65,-40,17,3
22-04-2020,,33.2,28.5,80,9.2,0,4,1,-42,-25,-51,-62,-39,16,3
23-04-2020,24.5,33.8,28.9,79,,7.2,5,2,-42,-19,-52,-64,-41,16,1
24-04-2020,23.6,32.8,27.4,82,13,9,3,1,-55,-36,-64,-72,-46,22,1
25-04-2020,23.3,32.2,26.3,86,,8.8,3,1,-59,-42,-74,-79,-32,21,2
26-04-2020,23.2,32.8,27.5,82,42.7,1.4,4,1,-58,-42,-74,-82,-21,19,3
27-04-2020,25,31.2,26.5,90,0,7.8,5,1,-51,-36,-58,-76,-40,20,1
28-04-2020,25,31.4,27.3,82,1.5,3.5,5,2,-49,-33,-56,-74,-41,18,10
29-04-2020,23.5,31.3,26.2,90,3,2.5,5,2,-50,-34,-59,-74,-41,18,1
