Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,covid-19
01-03-2020,25.6,31.8,27.7,89,12,0,6,2,4,10,-11,6,6,0,2
02-03-2020,25,31.8,28.7,81,63.6,0.2,9,2,6,24,5,5,6,-1,2
03-03-2020,26,31.6,28.8,79,,3.5,8,2,3,17,-1,3,5,0,2
04-03-2020,26.8,31,28.5,82,,8,5,1,-2,4,-8,1,4,1,2
05-03-2020,,31,28,79,19.6,1,3,1,3,8,1,4,5,0,0
06-03-2020,25,32,28.8,78,2,0,9,2,10,11,19,5,8,0,0
07-03-2020,25.2,33,28.8,73,,8.5,9,2,4,12,15,6,7,-1,0
08-03-2020,26.4,32.2,28.6,77,,4.3,5,2,0,6,1,3,6,0,0
09-03-2020,26,33.2,29.7,71,,4,5,3,3,6,7,3,5,1,0
10-03-2020,27,34.6,30.1,71,,5.4,5,2,1,6,2,3,4,1,0
11-03-2020,26,33,29.6,78,,7,8,2,1,3,3,2,4,1,0
12-03-2020,25.6,30.6,27.6,85,7.7,5.7,4,1,-3,-2,-7,1,3,2,0
13-03-2020,,31.6,28.5,76,29.2,2.6,5,1,8,9,16,2,5,1,0
14-03-2020,26.4,33.5,29.4,79,0,6.5,7,2,-12,2,-17,-8,5,2,1
15-03-2020,25,33,29.3,80,2,7,9,2,-20,3,-37,-19,5,4,6
16-03-2020,26.8,33,28.9,77,3.6,7.2,3,1,-18,-5,-23,-18,-10,7,0
17-03-2020,25.2,32.6,28.9,78,4.8,5,5,2,-16,3,-23,-27,-15,8,1
18-03-2020,25.8,29,27.6,86,0.4,8,4,1,-22,-3,-28,-32,-19,11,0
19-03-2020,25.8,31.4,28.1,83,0.2,0,5,2,-28,-12,-33,-38,-21,12,1
20-03-2020,25.2,31.2,27.4,82,16,1.6,4,1,-30,-11,-32,-42,-23,15,1
21-03-2020,,32.4,28.1,81,10.8,2,3,1,-35,-5,-38,-40,-10,11,0
22-03-2020,25,31.2,27.2,84,17.6,4.5,3,1,-49,-22,-59,-49,-12,14,0
23-03-2020,25,31.8,28.2,81,22.5,3,3,1,-40,-19,-43,-53,-34,18,0
24-03-2020,26.4,32.2,28.8,78,0.4,3.5,9,2,-43,-18,-46,-56,-40,19,0
25-03-2020,25.6,32.4,28.4,81,0.3,7,4,1,-54,-29,-55,-69,-69,28,0
26-03-2020,25.8,31.8,28.8,78,,5,7,1,-47,-24,-46,-60,-43,20,56
27-03-2020,26.4,31.6,28.7,81,0.9,1.6,4,1,-46,-17,-43,-61,-44,22,68
28-03-2020,26,32,29,81,0,2,3,1,-54,-21,-51,-58,-31,17,41
29-03-2020,27.2,33,29.4,78,0,7,5,1,-59,-28,-63,-60,-26,17,49
30-03-2020,26.6,31.8,27.7,84,0,5.2,4,1,-51,-26,-50,-63,-45,22,31
31-03-2020,26,34.4,28.1,84,7.1,2,8,2,-50,-21,-52,-62,-47,22,42
01-04-2020,25.2,31.8,28.1,80,21.5,6.4,5,1,-47,-16,-49,-62,-47,21,59
02-04-2020,25.6,33.8,29.8,73,0,5,7,2,-48,-19,-46,-63,-47,22,69
03-04-2020,27,33.6,29.3,77,0.1,6.6,4,1,-47,-19,-44,-63,-46,23,70
04-04-2020,26,32,28.9,81,5.5,5.9,4,1,-53,-21,-52,-60,-34,18,55
05-04-2020,27,32,28.5,79,,5.5,5,1,-57,-27,-64,-62,-28,17,85
06-04-2020,26.8,32.6,27.3,86,0,3,4,1,-50,-30,-52,-63,-44,22,98
07-04-2020,25.6,32.6,28.6,77,30.6,1,6,1,-47,-18,-48,-62,-46,21,110
08-04-2020,26,32,28.8,78,,5.2,9,3,-48,-23,-51,-63,-46,22,86
09-04-2020,27,31,28.9,81,0.3,6.7,4,1,-47,-17,-48,-61,-45,20,226
10-04-2020,26.4,32.2,28.3,83,,1.2,4,1,-68,-46,-61,-79,-73,34,49
11-04-2020,26,34.2,29.4,78,13.8,3.6,7,2,-63,-34,-61,-69,-43,22,185
12-04-2020,26.4,32.6,29.6,77,,3.2,8,2,-67,-39,-71,-70,-33,20,122
13-04-2020,25.8,32,27.7,90,14.5,6,4,1,-55,-31,-53,-69,-50,25,134
14-04-2020,25.6,32,28,85,72,4,8,2,-55,-28,-53,-68,-51,24,122
15-04-2020,25.8,31.4,28.1,86,5.4,5.4,6,2,-56,-30,-55,-68,-51,25,128
16-04-2020,26,32.4,29,80,,1.1,5,1,-55,-29,-51,-69,-51,24,174
17-04-2020,26.6,33,29.7,76,,6.5,4,1,-55,-28,-47,-70,-50,26,139
18-04-2020,26.2,32.6,28.7,77,0,7,5,1,-62,-34,-59,-66,-37,20,100
19-04-2020,26.4,34,29.6,76,,6,6,2,-64,-36,-67,-67,-29,18,98
20-04-2020,27,33.6,30,78,0,6,7,2,-56,-32,-53,-69,-49,24,70
21-04-2020,28,32.6,30,76,,6.9,4,1,-58,-33,-56,-69,-51,24,149
22-04-2020,26,34.8,30.4,70,,1,3,1,-56,-31,-54,-67,-50,23,108
23-04-2020,27.4,34.8,30.8,73,,6.5,7,2,-54,-24,-52,-65,-50,22,122
24-04-2020,27,33,29.3,77,,6.8,6,1,-64,-37,-59,-73,-55,29,78
25-04-2020,26.4,32.6,29.1,74,,4.6,3,1,-65,-35,-63,-69,-41,22,78
26-04-2020,26.4,33.4,29.4,77,,1.5,5,2,-68,-43,-73,-72,-33,21,104
27-04-2020,25,32,27.7,84,13.5,5,3,1,-60,-38,-58,-71,-50,26,65
28-04-2020,25.8,31.2,27.8,82,1.2,2.2,8,1,-60,-34,-58,-70,-51,25,124
29-04-2020,25.6,32.2,28.3,78,4.4,0.3,4,1,-59,-35,-58,-70,-50,24,86
30-04-2020,,31.8,28.6,82,,5.5,3,1,-57,-28,-54,-68,-49,24,83
01-05-2020,26.4,31.6,28.8,80,,0.5,4,2,-61,-28,-54,-76,-70,32,135
02-05-2020,25.6,30,27.1,85,,0,3,1,-62,-29,-59,-67,-39,21,70
03-05-2020,25.4,33.4,29.3,76,1,0,3,1,-64,-34,-68,-68,-29,19,58
04-05-2020,,30.6,28.7,79,,4,4,1,-56,-31,-54,-68,-48,24,72
05-05-2020,26.6,33.8,29.6,76,1.6,0.4,5,2,-57,-29,-54,-68,-50,24,131
06-05-2020,27,33.4,29.6,79,,6.4,3,1,-57,-31,-56,-68,-49,24,103
07-05-2020,27.2,34.2,30.2,72,0.2,5.6,5,1,-61,-29,-94,-73,-70,30,82
08-05-2020,27.2,33.8,30.2,73,,6,3,1,-56,-24,-94,-65,-48,26,96
09-05-2020,27,,28.4,82,,5,5,1,-60,-25,-95,-62,-36,20,98
10-05-2020,26,32.6,28.8,81,1,0,5,2,-63,-31,-96,-64,-28,19,124
11-05-2020,27,32.6,29.3,78,0,4.7,4,1,-52,-21,-94,-63,-46,24,80
12-05-2020,27.2,34.4,30.3,75,,3,3,1,-55,-24,-94,-64,-49,24,94
13-05-2020,27.4,33.6,29.9,79,3.8,6,5,1,-54,-22,-94,-63,-48,24,178
14-05-2020,26.6,34.2,29.4,76,,3.5,4,2,-53,-20,-92,-64,-48,23,130
15-05-2020,27.4,33,30,70,,6,3,1,-50,-14,-91,-65,-46,23,82
16-05-2020,26,34.6,30.2,70,,5,3,1,-54,-14,-93,-60,-33,18,100
17-05-2020,27.2,33.6,29.9,75,0,6.2,5,2,-56,-18,-94,-62,-24,17,127
18-05-2020,27,31.4,28.2,84,,5.8,5,1,-51,-22,-92,-64,-46,23,79
19-05-2020,25.2,33,28.7,76,12.8,0.2,3,1,-47,-8,-92,-61,-47,22,93
20-05-2020,,34,29.7,75,,3,5,2,-48,-14,-91,-61,-47,22,84
21-05-2020,24.8,33.4,28.9,80,29,6,4,1,-46,-1,-90,-65,-69,26,69
22-05-2020,26,33,29.7,81,0,1,5,2,-46,-4,-90,-63,-60,27,103
23-05-2020,26.6,33.8,29.6,73,0,5.9,5,1,-54,-6,-92,-57,-48,19,111
24-05-2020,26,35.6,31.2,65,,6,4,1,-65,-34,-93,-61,-37,13,112
25-05-2020,27.6,35,30.4,72,,6.5,4,1,-59,-28,-91,-73,-78,26,75
