Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,covid-19
02-03-2020,22.1,30,25.1,76,2,3.5,5,2,9,18,6,8,4,-1,3
03-03-2020,20,30.8,23.8,78,0.5,5.3,5,2,5,12,0,3,5,0,1
04-03-2020,20,30.6,24.4,76,,7.4,8,3,-1,3,-3,4,4,1,1
05-03-2020,20.8,29,24.1,72,9.9,5.1,3,1,7,14,4,9,4,0,1
06-03-2020,21,31.2,24.5,74,6,1.4,4,2,4,5,2,4,6,1,1
07-03-2020,20.8,29.8,25.3,72,0.4,6.4,5,2,8,12,5,6,6,-1,0
08-03-2020,21.9,29.2,24.3,72,,6.8,5,2,1,5,-2,2,4,1,0
09-03-2020,21.7,29.2,24.6,69,3.4,3.4,6,3,4,7,4,5,4,1,0
10-03-2020,21.6,31.6,25.6,72,,3.2,4,2,3,6,2,4,4,1,0
11-03-2020,22.2,31.4,25.3,77,0.4,5.7,5,2,6,8,6,6,3,1,0
12-03-2020,22.6,27.8,23.8,84,,5.6,3,1,3,5,3,6,3,1,1
13-03-2020,21.4,30.6,25.2,78,5.2,0.8,5,2,6,6,5,3,5,1,4
14-03-2020,21.4,29,24,84,0,7.6,3,1,-7,-1,-8,-5,6,2,0
15-03-2020,20.2,30.6,23.8,86,6.4,3.1,3,1,-10,2,-12,-10,4,4,0
16-03-2020,20.6,29.4,23.4,88,38.5,5,3,1,-11,-2,-9,-11,-12,6,1
17-03-2020,20,31.2,24.3,78,6.4,4.8,3,1,-9,2,-10,-16,-17,7,11
18-03-2020,20,27.4,23.3,91,0.5,5.2,2,1,-10,1,-9,-20,-19,9,5
19-03-2020,21.2,28.4,23.4,86,20.6,1.2,3,1,-18,-7,-17,-26,-21,10,7
20-03-2020,20.4,27.8,22.5,91,19.4,3.3,3,1,-23,-9,-21,-34,-22,13,20
21-03-2020,19.9,29,23.4,86,28.2,3,4,2,-25,-5,-27,-37,-10,9,5
22-03-2020,22,27.6,24.2,82,0.8,4.4,2,1,-36,-16,-39,-44,-7,11,3
23-03-2020,20.6,28,23.1,82,,1,3,1,-27,-13,-22,-41,-29,14,6
24-03-2020,20.2,29.2,23.2,83,2.2,0.7,6,1,-31,-13,-26,-43,-33,15,2
25-03-2020,20.3,31,24.1,82,2.4,4.3,4,2,-34,-15,-26,-50,-60,23,5
26-03-2020,21.8,29.4,24.6,84,21.8,6,3,1,-32,-13,-27,-45,-34,16,8
27-03-2020,21.4,29.4,24.2,85,26.5,3.4,2,1,-33,-12,-27,-50,-34,18,27
28-03-2020,21,29,23.8,84,0.8,4.9,3,1,-42,-18,-42,-52,-22,15,23
29-03-2020,20.9,29.2,23.4,87,12.6,3.7,3,2,-50,-30,-51,-55,-16,16,33
30-03-2020,20.2,29.8,23.2,86,16.2,2.8,5,2,-37,-20,-32,-50,-36,17,26
31-03-2020,20,30,22.9,86,59.7,5,3,1,-34,-13,-28,-49,-37,17,9
01-04-2020,20.2,29.6,24.3,83,48,5.5,3,1,-28,-5,-22,-47,-37,16,27
02-04-2020,20.8,30.6,24.1,81,0,5.9,6,2,-30,-9,-24,-49,-37,17,24
