Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,covid-19
18-03-2020,25,33,28.7,79,5.5,7.2,5,2,-9,0,-12,-14,-21,7,1
19-03-2020,25.2,31.8,26.9,87,,6.7,5,1,-14,-5,-16,-21,-22,8,1
20-03-2020,24.3,31.6,28.1,78,8.5,4.7,5,2,-16,-4,-22,-25,-22,9,2
21-03-2020,24.9,31.8,28.4,76,,8.1,4,2,-17,-7,-29,-31,-13,8,1
22-03-2020,26,32.4,29.3,72,0,6,5,2,-28,-15,-39,-41,-5,9,0
23-03-2020,25,32.4,28.8,79,0.5,10.8,6,2,-22,-11,-22,-35,-26,11,3
24-03-2020,24.4,31.3,27.9,79,0,5,4,2,-21,-8,-22,-31,-28,11,1
25-03-2020,24.6,32.2,28.6,80,1,5.5,5,3,-29,-15,-27,-36,-56,18,18
26-03-2020,25.4,33.3,28.3,78,10.3,8.5,5,2,-27,-12,-27,-38,-30,12,2
27-03-2020,25,32.2,28.8,76,2,8.8,5,2,-31,-16,-36,-44,-30,14,4
28-03-2020,25.6,32.6,29.3,76,,8,7,2,-38,-24,-48,-49,-21,15,12
29-03-2020,25.2,32.6,28.4,81,,6.8,5,1,-44,-29,-54,-54,-11,15,7
30-03-2020,25.4,32,28,85,0.5,5.5,5,1,-30,-17,-31,-45,-31,14,14
31-03-2020,24.8,31.2,26.8,85,19.5,5.5,7,2,-29,-16,-30,-42,-32,14,12
01-04-2020,24.6,31.6,28.3,76,3.4,5.2,4,2,-22,-7,-24,-41,-32,12,8
02-04-2020,24,31.8,27.7,81,64.7,7.7,5,2,-25,-10,-27,-45,-33,14,0
03-04-2020,25.2,32.6,29.6,78,1.1,6.7,6,2,-29,-15,-36,-50,-32,14,13
04-04-2020,26,32.6,29.5,77,,9,5,3,-32,-19,-45,-54,-23,14,8
05-04-2020,26,31.8,,,,9.5,4,1,-39,-25,-52,-60,-12,14,0
06-04-2020,24.8,31.2,27.4,86,7.7,3,6,1,-25,-13,-27,-50,-32,13,12
07-04-2020,24.1,31,27.1,85,10.1,3.5,5,1,-25,-12,-26,-46,-33,13,1
08-04-2020,24,30.4,27.1,79,1.4,,5,2,-25,-12,-27,-45,-33,13,7
09-04-2020,24.8,34.3,28.6,78,0,2,8,2,-23,-9,-24,-42,-32,12,4
10-04-2020,24,34.4,28.6,78,2,7.5,6,2,-32,-18,-35,-54,-56,20,0
11-04-2020,25,31.8,27.4,86,1,6.5,3,1,-33,-19,-44,-56,-26,15,0
12-04-2020,24.6,32.6,27.3,83,2.8,5.5,7,2,-37,-23,-48,-60,-10,14,56
13-04-2020,23.7,32,28,78,31.6,6.7,4,2,-22,-10,-24,-49,-30,14,3
14-04-2020,25.6,31.2,28,77,,10.2,6,2,-23,-12,-23,-46,-31,14,75
15-04-2020,25.4,33.3,29.6,74,0,9.8,7,2,-24,-12,-24,-46,-31,14,13
16-04-2020,26,33,29.3,72,,8.5,5,2,-23,-11,-23,-46,-31,14,8
17-04-2020,25,32.6,29.2,78,0,5.2,5,2,-32,-20,-37,-53,-31,16,5
18-04-2020,24.4,32.6,28.3,75,0,6,4,2,-32,-20,-44,-54,-20,14,24
19-04-2020,25,31.6,28.1,80,,8.3,4,2,-35,-22,-48,-58,-6,13,21
20-04-2020,26,32.4,29.4,76,0.8,7.9,7,3,-23,-12,-25,-48,-29,14,3
21-04-2020,24.8,32.3,28.1,83,48,9.5,6,2,-25,-13,-27,-45,-32,13,99
22-04-2020,25,34,29,78,11.5,5.5,5,2,-20,-6,-23,-40,-30,12,30
23-04-2020,26,34,30.5,72,0,9,6,2,-18,0,-23,-37,-32,12,59
24-04-2020,27.2,34,29.5,69,0,8.5,4,2,-40,-23,-44,-56,-39,20,37
25-04-2020,26,33.4,28.9,69,2.2,7.9,4,2,-42,-27,-53,-62,-27,19,46
26-04-2020,25.4,31.6,27.3,83,,2.5,5,2,-45,-31,-58,-67,-11,18,28
27-04-2020,25.8,33.8,29.4,72,2.3,1.4,6,2,-32,-19,-33,-56,-32,17,17
