Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,covid-19
18-03-2020,26.1,33.8,27.2,88,4.4,8.4,5,2,-6,5,-13,-13,-15,7,7
19-03-2020,26.5,33.7,28.2,85,6.5,4.8,3,2,-11,-1,-14,-20,-16,8,3
20-03-2020,25.7,33.6,28.5,80,1,7.3,7,2,-13,0,-20,-23,-18,8,9
21-03-2020,26,33.6,29.3,80,0,6.2,3,1,-16,-3,-29,-28,-11,8,8
22-03-2020,26.8,34,28.8,83,,8.2,4,2,-24,-10,-42,-37,-6,9,14
23-03-2020,25.8,35.2,28.6,80,2.8,5.6,3,1,-24,-13,-27,-35,-25,12,2
24-03-2020,24.8,35.6,28.5,84,15.4,6.8,4,1,-24,-7,-27,-32,-28,11,3
25-03-2020,26.1,34.5,29.4,80,0,6.5,5,2,-30,-13,-31,-40,-56,19,9
26-03-2020,25.8,35,29.4,79,5.5,8.3,5,2,-26,-9,-27,-38,-29,13,13
27-03-2020,26.2,35.3,30.3,75,0,8.6,4,1,-33,-15,-37,-45,-30,15,3
28-03-2020,27.2,34.7,30.1,81,0,5.9,4,1,-37,-18,-49,-48,-22,14,14
29-03-2020,27,32.3,28.6,85,,5,3,1,-42,-24,-59,-53,-13,15,12
30-03-2020,26.3,34.4,29.3,80,3.7,1,3,1,-28,-13,-31,-42,-30,14,7
31-03-2020,,,,,,,,,-28,-11,-33,-41,-31,13,1
01-04-2020,26.6,35.2,29,81,0.5,6.3,3,1,-24,-5,-31,-40,-31,13,9
02-04-2020,27,33.8,29.8,80,0,3.5,4,2,-27,-10,-30,-44,-32,14,0
03-04-2020,26.3,34.6,28.8,82,0,5.9,4,2,-32,-16,-40,-50,-31,15,47
04-04-2020,26,35.5,30.3,78,,4.9,3,2,-34,-17,-48,-53,-23,14,5
05-04-2020,25,33.4,28.9,85,80.5,7.9,4,2,-35,-18,-55,-56,-13,13,35
06-04-2020,26.6,33.9,27.8,89,,5.3,3,1,-28,-17,-34,-49,-31,14,9
07-04-2020,25,33.6,28.4,80,10.7,3,4,2,-30,-17,-34,-46,-32,14,5
08-04-2020,25,34.4,28.3,82,13.4,7,5,2,-26,-11,-33,-45,-32,13,15
09-04-2020,25,34.5,29,78,0.2,5.6,5,2,-24,-9,-26,-42,-31,12,36
10-04-2020,25.5,34,29.2,80,18.2,8.2,6,2,-34,-20,-38,-55,-56,20,30
11-04-2020,26.2,34,29.3,82,23,5.2,4,2,-34,-19,-47,-56,-28,15,15
12-04-2020,25.4,33.3,29,82,34.1,5.5,4,2,-36,-22,-54,-58,-12,14,111
13-04-2020,25.5,34.3,29.2,80,30.5,6.9,4,2,-23,-13,-28,-48,-29,15,52
14-04-2020,25,33.9,28.6,82,57,8.1,4,1,-26,-14,-29,-46,-31,14,36
15-04-2020,25.8,34,29.9,79,,8.2,4,2,-25,-12,-30,-45,-30,14,25
16-04-2020,27,34.2,29.8,80,0,8.1,6,2,-27,-15,-29,-47,-30,15,13
17-04-2020,25.8,33.8,27.9,88,12.5,6.2,5,1,-30,-17,-37,-51,-30,15,10
18-04-2020,26.4,32.6,28,88,0.5,1,4,1,-33,-18,-47,-53,-21,14,34
19-04-2020,25.8,31.7,28.5,86,6.5,3.6,3,1,-35,-21,-54,-57,-9,14,43
20-04-2020,26.7,34.4,30,80,22.5,2,3,1,-23,-13,-27,-48,-28,14,5
21-04-2020,26.4,34.5,30,80,6.5,8.5,4,2,-24,-12,-28,-45,-29,13,10
22-04-2020,27.6,34.6,30.3,80,,7.8,6,3,-22,-7,-27,-42,-29,12,36
23-04-2020,27.8,35,30.5,78,,8.6,6,3,-23,-6,-25,-43,-32,14,27
24-04-2020,27,34.4,30.1,72,0,8.4,7,2,-42,-23,-44,-58,-37,20,20
25-04-2020,27.4,34.4,30.1,78,0,8.4,4,1,-43,-26,-54,-62,-27,18,75
26-04-2020,26.5,33.8,29.5,80,5.7,5.5,6,2,-43,-27,-60,-65,-12,18,19
27-04-2020,26.6,34.6,30.1,74,0,3.7,5,2,-31,-19,-33,-55,-30,17,12
28-04-2020,27.5,33.4,29,82,1,8,4,2,-36,-22,-36,-56,-33,17,58
29-04-2020,26.6,34.5,29.3,77,,2.6,5,2,-36,-23,-39,-58,-33,17,20
30-04-2020,25.6,33.7,29.1,80,3.9,5.5,5,2,-33,-15,-33,-55,-32,17,75
01-05-2020,26.7,34.6,29.8,77,,4.5,4,2,-39,-20,-42,-64,-57,23,83
02-05-2020,26.7,35,30.1,68,0,8,4,2,-40,-21,-51,-63,-27,18,7
03-05-2020,,33.4,29.2,80,2.7,8.2,4,2,-42,-25,-59,-67,-11,17,77
04-05-2020,27,33.8,29.5,78,1,4,5,3,-31,-16,-33,-58,-31,17,13
05-05-2020,27.5,34.5,30.1,80,0,9999,5,2,-32,-15,-34,-55,-33,17,41
06-05-2020,27.5,34.5,30.3,78,0,6,5,2,-29,-10,-32,-54,-32,17,48
07-05-2020,26.5,35.2,30,77,,8,5,2,-32,-15,-31,-60,-55,23,34
08-05-2020,27,35.1,30.3,77,,7.9,6,3,-34,-17,-41,-61,-32,19,30
09-05-2020,26.7,34.6,29.1,82,,8.5,7,3,-40,-23,-53,-64,-25,18,158
10-05-2020,23.6,34.4,29.3,83,15.2,5,5,2,-36,-18,-56,-65,-8,16,78
11-05-2020,26.2,34.2,28.9,83,3,6.7,4,2,-29,-15,-33,-57,-31,18,54
12-05-2020,26.8,33.8,29.5,78,4,2,5,3,-25,-7,-28,-51,-31,16,111
13-05-2020,26.7,34.3,30,77,0,6.7,5,3,-25,-8,-29,-52,-31,16,141
14-05-2020,27.2,34,29.6,76,0,8.3,6,2,-25,-9,-27,-53,-31,16,85
15-05-2020,26.2,33.6,29.5,74,0,6.7,7,3,-27,-8,-35,-55,-30,16,57
16-05-2020,26.4,35,29.5,77,0,7.8,5,2,-27,-7,-42,-57,-21,15,168
17-05-2020,26.8,35,30.4,73,,8.2,6,3,-30,-12,-53,-62,-4,16,57
18-05-2020,26.4,33.2,29.1,80,0,7.7,3,2,-24,-9,-31,-54,-31,17,124
19-05-2020,25.6,34.2,28.8,80,0.3,0.8,3,1,-23,-4,-29,-49,-31,16,84
